# kotlin-layout: the Kotlin preparer's materialization, golden-2026-09-13, recorded by pluginpack_test -record-kotlin-goldens.
# fixture	path	kind (directory, file, symlink, or a jar entry when the jar order follows the host)	mode	sha256 or link target
a layout file copies one file at the declared mode	bin	directory	0755	-
a layout file copies one file at the declared mode	bin/jre-build.txt	file	0644	39a069e3150946ba678d8e2b3ec2c338b8204584bdede5158fc823962d9a5b5a
a layout file holds inline text	jre-build.txt	file	0644	39a069e3150946ba678d8e2b3ec2c338b8204584bdede5158fc823962d9a5b5a
archive-tree from a tar.gz keeps modes, a link, and an empty directory	payload	directory	0755	-
archive-tree from a tar.gz keeps modes, a link, and an empty directory	payload/bin	directory	0755	-
archive-tree from a tar.gz keeps modes, a link, and an empty directory	payload/bin/current	symlink	-	tool
archive-tree from a tar.gz keeps modes, a link, and an empty directory	payload/bin/latest	symlink	-	tool
archive-tree from a tar.gz keeps modes, a link, and an empty directory	payload/bin/tool	file	0751	7c9bbe5ec9b3fb774e8fa0f54247e93c34ddf8e5d16fe3073420de0ae81a262d
archive-tree from a tar.gz keeps modes, a link, and an empty directory	payload/data.txt	file	0644	3a6eb0790f39ac87c94f3856b2dd2c5d110e6811602261a9a923d3bb23adc8b7
archive-tree from a tar.gz keeps modes, a link, and an empty directory	payload/docs	directory	0750	-
archive-tree from a tar.gz keeps modes, a link, and an empty directory	payload/docs/readme.md	file	0644	711a6108ba2ce6ca93dd47d6817f2361db10d8ab6eec89460b2dfc2c325efabe
archive-tree from a tar.gz keeps modes, a link, and an empty directory	payload/empty	directory	0755	-
archive-tree from a tar.gz keeps modes, a link, and an empty directory	payload/private.txt	file	0600	2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b
gzip-xml-archive entries hold the XML of each archive in central-directory order	resources/beta.xml.gzip	entry	-	58db87a0d677497fdaaa1441a883c8ecef66666820722dba30d02ac35ed6870c
