# kotlin-native-select: the lib/native tree DevPluginPresignedNativeRecipeRuntime wrote and the jar entries it left for intellij.platform.vcs.plugin, golden-2026-09-18, frozen from the dev-dist remainder of each platform.
# fixture	path	kind (directory, file, or a jar entry)	mode	sha256
darwin_aarch64	.distribution-root/lib/native	directory	0755	-
darwin_aarch64	.distribution-root/lib/native/mac-aarch64	directory	0755	-
darwin_aarch64	.distribution-root/lib/native/mac-aarch64/libsqliteij.jnilib	file	0644	051c76f41c5bae740816626f7dc9775851ac1091e6034f7a502e8843271e13de
darwin_aarch64	sqlite/linux-aarch64/libsqliteij.so.sha256	entry	-	b6161d470382ca0f5df11fc5dd814c41ec070fce29b7b13b6ec97f97f87dd985
darwin_aarch64	sqlite/linux-x86_64/libsqliteij.so.sha256	entry	-	f43e48a3cc42b82cb3527c6c24316db162dfd96da8f1c031e7cb9e270791479c
darwin_aarch64	sqlite/mac-aarch64/libsqliteij.jnilib.sha256	entry	-	8e4c763267cec29bd5cf700c6a9f901fcb4809bed08eb1efda6ceae11d0ebfff
darwin_aarch64	sqlite/mac-x86_64/libsqliteij.jnilib.sha256	entry	-	4e6d1e8e7a6d5bc94eb025b9add2be9f5e5811d2fa04cb0277002d0030adf32b
darwin_aarch64	sqlite/win-aarch64/sqliteij.dll.sha256	entry	-	5e2d8e10773f1560dfdcfbf3e5163fe37575eaab5514662f76f9c8d295f682e4
darwin_aarch64	sqlite/win-x86_64/sqliteij.dll.sha256	entry	-	eed878459d3dba12eda2c2b8513a8425c4ea34b5296d1fea6c25e1aa11b423ec
darwin_x64	.distribution-root/lib/native	directory	0755	-
darwin_x64	.distribution-root/lib/native/mac-x86_64	directory	0755	-
darwin_x64	.distribution-root/lib/native/mac-x86_64/libsqliteij.jnilib	file	0644	28ced72938158243b1d048b641064d1c32d7b591e8a3c765016f5f3008d836a5
darwin_x64	sqlite/linux-aarch64/libsqliteij.so.sha256	entry	-	b6161d470382ca0f5df11fc5dd814c41ec070fce29b7b13b6ec97f97f87dd985
darwin_x64	sqlite/linux-x86_64/libsqliteij.so.sha256	entry	-	f43e48a3cc42b82cb3527c6c24316db162dfd96da8f1c031e7cb9e270791479c
darwin_x64	sqlite/mac-aarch64/libsqliteij.jnilib.sha256	entry	-	8e4c763267cec29bd5cf700c6a9f901fcb4809bed08eb1efda6ceae11d0ebfff
darwin_x64	sqlite/mac-x86_64/libsqliteij.jnilib.sha256	entry	-	4e6d1e8e7a6d5bc94eb025b9add2be9f5e5811d2fa04cb0277002d0030adf32b
darwin_x64	sqlite/win-aarch64/sqliteij.dll.sha256	entry	-	5e2d8e10773f1560dfdcfbf3e5163fe37575eaab5514662f76f9c8d295f682e4
darwin_x64	sqlite/win-x86_64/sqliteij.dll.sha256	entry	-	eed878459d3dba12eda2c2b8513a8425c4ea34b5296d1fea6c25e1aa11b423ec
linux_aarch64	.distribution-root/lib/native	directory	0755	-
linux_aarch64	.distribution-root/lib/native/linux-aarch64	directory	0755	-
linux_aarch64	.distribution-root/lib/native/linux-aarch64/libsqliteij.so	file	0644	3a89d721065a2d104b739e2d58ce13c249719c25fd92b20407109a0636e8bfc9
linux_aarch64	sqlite/linux-aarch64/libsqliteij.so.sha256	entry	-	b6161d470382ca0f5df11fc5dd814c41ec070fce29b7b13b6ec97f97f87dd985
linux_aarch64	sqlite/linux-x86_64/libsqliteij.so.sha256	entry	-	f43e48a3cc42b82cb3527c6c24316db162dfd96da8f1c031e7cb9e270791479c
linux_aarch64	sqlite/mac-aarch64/libsqliteij.jnilib.sha256	entry	-	8e4c763267cec29bd5cf700c6a9f901fcb4809bed08eb1efda6ceae11d0ebfff
linux_aarch64	sqlite/mac-x86_64/libsqliteij.jnilib.sha256	entry	-	4e6d1e8e7a6d5bc94eb025b9add2be9f5e5811d2fa04cb0277002d0030adf32b
linux_aarch64	sqlite/win-aarch64/sqliteij.dll.sha256	entry	-	5e2d8e10773f1560dfdcfbf3e5163fe37575eaab5514662f76f9c8d295f682e4
linux_aarch64	sqlite/win-x86_64/sqliteij.dll.sha256	entry	-	eed878459d3dba12eda2c2b8513a8425c4ea34b5296d1fea6c25e1aa11b423ec
linux_x64	.distribution-root/lib/native	directory	0755	-
linux_x64	.distribution-root/lib/native/linux-x86_64	directory	0755	-
linux_x64	.distribution-root/lib/native/linux-x86_64/libsqliteij.so	file	0644	6eeb63b1a80a3c1a6e35727a57ba044c8aac585f57615938752102ebb3c7e242
linux_x64	sqlite/linux-aarch64/libsqliteij.so.sha256	entry	-	b6161d470382ca0f5df11fc5dd814c41ec070fce29b7b13b6ec97f97f87dd985
linux_x64	sqlite/linux-x86_64/libsqliteij.so.sha256	entry	-	f43e48a3cc42b82cb3527c6c24316db162dfd96da8f1c031e7cb9e270791479c
linux_x64	sqlite/mac-aarch64/libsqliteij.jnilib.sha256	entry	-	8e4c763267cec29bd5cf700c6a9f901fcb4809bed08eb1efda6ceae11d0ebfff
linux_x64	sqlite/mac-x86_64/libsqliteij.jnilib.sha256	entry	-	4e6d1e8e7a6d5bc94eb025b9add2be9f5e5811d2fa04cb0277002d0030adf32b
linux_x64	sqlite/win-aarch64/sqliteij.dll.sha256	entry	-	5e2d8e10773f1560dfdcfbf3e5163fe37575eaab5514662f76f9c8d295f682e4
linux_x64	sqlite/win-x86_64/sqliteij.dll.sha256	entry	-	eed878459d3dba12eda2c2b8513a8425c4ea34b5296d1fea6c25e1aa11b423ec
windows_aarch64	.distribution-root/lib/native	directory	0755	-
windows_aarch64	.distribution-root/lib/native/win-aarch64	directory	0755	-
windows_aarch64	.distribution-root/lib/native/win-aarch64/sqliteij.dll	file	0644	f633ea076039610b6403eecb46a77c2c69171e708ba2ec2db64b8976023660b2
windows_aarch64	sqlite/linux-aarch64/libsqliteij.so.sha256	entry	-	b6161d470382ca0f5df11fc5dd814c41ec070fce29b7b13b6ec97f97f87dd985
