Comment ('#IDEA-219928')
\n ('\n')
word ('arg')
= ('=')
OPEN_QUOTE ('"')
$ ('$')
{ ('{')
parameter_expansion_body ('arg//\\/\\\\')
} ('}')
CLOSE_QUOTE ('"')
\n ('\n')
word ('printf')
WHITE_SPACE (' ')
OPEN_QUOTE ('"')
STRING_CONTENT ('%s\n')
CLOSE_QUOTE ('"')
WHITE_SPACE (' ')
OPEN_QUOTE ('"')
$ ('$')
{ ('{')
parameter_expansion_body ('arg')
} ('}')
CLOSE_QUOTE ('"')
\n ('\n')
\n ('\n')
word ('arg')
= ('=')
OPEN_QUOTE ('"')
$ ('$')
{ ('{')
parameter_expansion_body ('arg//\\/\\\\\}"\nprintf "%s\n" "')
$ ('$')
{ ('{')
parameter_expansion_body ('arg')
} ('}')
parameter_expansion_body (' ff')
} ('}')
CLOSE_QUOTE ('"')
