Albert: Ab
America: Ameraca Amercia
American: Ameracan
April: Apirl
Austrian: Austrain
Badcock's: badcock
Botswana: botuania
Cambridge: Cambrige
Canada: Canda
Chautauqua: Chactuquoe Chalktwa Chaqua Chata Chatacqua Chatacque Chatalkwa Chataqua Chataque Chataukowa Chataukwa Chatauwkwa Chateau Chatocqua Chatogua Chatoukouv Chattakqua Chatuaca Chatwakwa Chauetouequa Chauta Chautakye Chautaqua Chautauchua Chautiqua Chautogqwa Chautqua Chawtakque Chawtawque Cheautauqua Chetdacowa Chetoquoi Chicahwa Chictocua Chicugta Chistupa Chitacque Chitalka Chitalkwa Chitaqua Chitauqua Chitoqua Chittiqua Chochatta Chottago Chouativa Chtacu Chuatackqua Chuatuaque Chuatuaton Chutaciqwa Chutouko Cuhtawa Quatauqua Schtaka Shatacua Shatakiwa Shataqua Shautalkwa Shawtachwa Shawtapwa Shawtowa Sheto Shitaka Showtalkaw Showtalkwa Showtucwa catauqua chacactur chatacuia chataqua chataque chatauchuia chatauqua chautaucua chautauqua chetickway chictique chitacwa chitiquea chituaquea chtoawa sechectaquka shatakwa shtalkwa sutalkway
Christ: Crist
Christian: Christain
Cinderella: Cinderrella
Dec: des.
December: Decmber Desember
Dr: Doc
Dracula's: draculla's
Dunstan's: Dunstan
Easter: Ester ester
Eastwood: Estwood
English: ingish inglish
Feb: Fab
February: Febuary Feburary feburay
French: Franch feirne fench freach
Friday: Firday
Hallowe'en: hallowen
Hitler: Hitlar
I: a and are has he i if is it iy ld we
I'd: I'de I'ed I'ld
I'll: Ile Ill
I'm: I'me I'n im
I've: I'v Iev
Indians: Indian's
Ireland: Irland
Irish: Iresh
January: Januery
July: Jaly
June: Jun
Leicester: Lester
Luke's: Luks
Mayfield: Mayfeild
Mediterranean: Meditterranean
Miss: mis
Monday: Munday
Mr: Mis Mrs
Mrs: Miss Mixss Mr's Mrss
October: Octber
Pekinese: pikaness
Philip's: perllips
Pyrenean: Pyrannean
Rolls: rowles
Samaritan: Samariton
Saturday: Saterday Satuarday
Scots: Scotts
Sept: Sep
September: Septenber Septmber
Sheba: shebre
Spanish: Spanich
Sunday: Sanday
Swedish: sweedish
Thames: Thems
Tuesday: Teusday Tusday Tuseday
Victorian: vitiorian
Wednesday: Wdendsdy Wedensday Wensday
Welsh: Wesh
X-rays: exrays
a: I ah an and are as the
