Name,Template,Reference
1d-interleaved-parityfec,audio/1d-interleaved-parityfec,[RFC6015]
32kadpcm,audio/32kadpcm,[RFC3802][RFC2421]
3gpp,audio/3gpp,[RFC3839][RFC6381]
3gpp2,audio/3gpp2,[RFC4393][RFC6381]
aac,audio/aac,[ISO-IEC_JTC1][Max_Neuendorf]
ac3,audio/ac3,[RFC4184]
AMR,audio/AMR,[RFC4867]
AMR-WB,audio/AMR-WB,[RFC4867]
amr-wb+,audio/amr-wb+,[RFC4352]
aptx,audio/aptx,[RFC7310]
asc,audio/asc,[RFC6295]
ATRAC-ADVANCED-LOSSLESS,audio/ATRAC-ADVANCED-LOSSLESS,[RFC5584]
ATRAC-X,audio/ATRAC-X,[RFC5584]
ATRAC3,audio/ATRAC3,[RFC5584]
basic,audio/basic,[RFC2045][RFC2046]
BV16,audio/BV16,[RFC4298]
BV32,audio/BV32,[RFC4298]
clearmode,audio/clearmode,[RFC4040]
CN,audio/CN,[RFC3389]
DAT12,audio/DAT12,[RFC3190]
dls,audio/dls,[RFC4613]
dsr-es201108,audio/dsr-es201108,[RFC3557]
dsr-es202050,audio/dsr-es202050,[RFC4060]
dsr-es202211,audio/dsr-es202211,[RFC4060]
dsr-es202212,audio/dsr-es202212,[RFC4060]
DV,audio/DV,[RFC6469]
DVI4,audio/DVI4,[RFC4856]
eac3,audio/eac3,[RFC4598]
encaprtp,audio/encaprtp,[RFC6849]
EVRC,audio/EVRC,[RFC4788]
EVRC-QCP,audio/EVRC-QCP,[RFC3625]
EVRC0,audio/EVRC0,[RFC4788]
EVRC1,audio/EVRC1,[RFC4788]
EVRCB,audio/EVRCB,[RFC5188]
EVRCB0,audio/EVRCB0,[RFC5188]
EVRCB1,audio/EVRCB1,[RFC4788]
EVRCNW,audio/EVRCNW,[RFC6884]
EVRCNW0,audio/EVRCNW0,[RFC6884]
EVRCNW1,audio/EVRCNW1,[RFC6884]
EVRCWB,audio/EVRCWB,[RFC5188]
EVRCWB0,audio/EVRCWB0,[RFC5188]
EVRCWB1,audio/EVRCWB1,[RFC5188]
EVS,audio/EVS,[_3GPP][Kyunghun_Jung]
example,audio/example,[RFC4735]
flexfec,audio/flexfec,[RFC8627]
fwdred,audio/fwdred,[RFC6354]
G711-0,audio/G711-0,[RFC7655]
G719,audio/G719,"[RFC5404][RFC Errata 
          3245]"
G7221,audio/G7221,[RFC5577]
G722,audio/G722,[RFC4856]
G723,audio/G723,[RFC4856]
G726-16,audio/G726-16,[RFC4856]
G726-24,audio/G726-24,[RFC4856]
G726-32,audio/G726-32,[RFC4856]
G726-40,audio/G726-40,[RFC4856]
G728,audio/G728,[RFC4856]
G729,audio/G729,[RFC4856]
G7291,,[RFC4749][RFC5459]
G729D,audio/G729D,[RFC4856]
G729E,audio/G729E,[RFC4856]
GSM,audio/GSM,[RFC4856]
GSM-EFR,audio/GSM-EFR,[RFC4856]
GSM-HR-08,audio/GSM-HR-08,[RFC5993]
iLBC,audio/iLBC,[RFC3952]
ip-mr_v2.5,audio/ip-mr_v2.5,[RFC6262]
L8,audio/L8,[RFC4856]
L16,audio/L16,[RFC4856]
L20,audio/L20,[RFC3190]
L24,audio/L24,[RFC3190]
LPC,audio/LPC,[RFC4856]
MELP,audio/MELP,[RFC8130]
MELP600,audio/MELP600,[RFC8130]
MELP1200,audio/MELP1200,[RFC8130]
MELP2400,audio/MELP2400,[RFC8130]
mobile-xmf,audio/mobile-xmf,[RFC4723]
MPA,audio/MPA,[RFC3555]
mp4,audio/mp4,[RFC4337][RFC6381]
MP4A-LATM,audio/MP4A-LATM,[RFC6416]
mpa-robust,audio/mpa-robust,[RFC5219]
mpeg,audio/mpeg,[RFC3003]
mpeg4-generic,audio/mpeg4-generic,[RFC3640][RFC5691][RFC6295]
ogg,audio/ogg,[RFC5334][RFC7845]
opus,audio/opus,[RFC7587]
parityfec,,[RFC5109]
PCMA,audio/PCMA,[RFC4856]
PCMA-WB,audio/PCMA-WB,[RFC5391]
PCMU,audio/PCMU,[RFC4856]
PCMU-WB,audio/PCMU-WB,[RFC5391]
prs.sid,audio/prs.sid,[Linus_Walleij]
QCELP,,[RFC3555][RFC3625]
raptorfec,audio/raptorfec,[RFC6682]
RED,audio/RED,[RFC3555]
rtp-enc-aescm128,audio/rtp-enc-aescm128,[_3GPP]
rtploopback,audio/rtploopback,[RFC6849]
rtp-midi,audio/rtp-midi,[RFC6295]
rtx,audio/rtx,[RFC4588]
SMV,audio/SMV,[RFC3558]
SMV0,audio/SMV0,[RFC3558]
SMV-QCP,audio/SMV-QCP,[RFC3625]
sp-midi,audio/sp-midi,[Timo_Kosonen][Tom_White]
speex,audio/speex,[RFC5574]
t140c,audio/t140c,[RFC4351]
t38,audio/t38,[RFC4612]
telephone-event,audio/telephone-event,[RFC4733]
TETRA_ACELP,audio/TETRA_ACELP,[ETSI][Miguel_Angel_Reina_Ortega]
tone,audio/tone,[RFC4733]
UEMCLIP,audio/UEMCLIP,[RFC5686]
ulpfec,audio/ulpfec,[RFC5109]
usac,audio/usac,[ISO-IEC_JTC1][Max_Neuendorf]
VDVI,audio/VDVI,[RFC4856]
VMR-WB,audio/VMR-WB,[RFC4348][RFC4424]
vnd.3gpp.iufp,audio/vnd.3gpp.iufp,[Thomas_Belling]
vnd.4SB,audio/vnd.4SB,[Serge_De_Jaham]
vnd.audiokoz,audio/vnd.audiokoz,[Vicki_DeBarros]
vnd.CELP,audio/vnd.CELP,[Serge_De_Jaham]
vnd.cisco.nse,audio/vnd.cisco.nse,[Rajesh_Kumar]
vnd.cmles.radio-events,audio/vnd.cmles.radio-events,[Jean-Philippe_Goulet]
vnd.cns.anp1,audio/vnd.cns.anp1,[Ann_McLaughlin]
vnd.cns.inf1,audio/vnd.cns.inf1,[Ann_McLaughlin]
vnd.dece.audio,audio/vnd.dece.audio,[Michael_A_Dolan]
vnd.digital-winds,audio/vnd.digital-winds,[Armands_Strazds]
vnd.dlna.adts,audio/vnd.dlna.adts,[Edwin_Heredia]
vnd.dolby.heaac.1,audio/vnd.dolby.heaac.1,[Steve_Hattersley]
vnd.dolby.heaac.2,audio/vnd.dolby.heaac.2,[Steve_Hattersley]
vnd.dolby.mlp,audio/vnd.dolby.mlp,[Mike_Ward]
vnd.dolby.mps,audio/vnd.dolby.mps,[Steve_Hattersley]
vnd.dolby.pl2,audio/vnd.dolby.pl2,[Steve_Hattersley]
vnd.dolby.pl2x,audio/vnd.dolby.pl2x,[Steve_Hattersley]
vnd.dolby.pl2z,audio/vnd.dolby.pl2z,[Steve_Hattersley]
vnd.dolby.pulse.1,audio/vnd.dolby.pulse.1,[Steve_Hattersley]
vnd.dra,audio/vnd.dra,[Jiang_Tian]
vnd.dts,audio/vnd.dts,[William_Zou]
vnd.dts.hd,audio/vnd.dts.hd,[William_Zou]
vnd.dts.uhd,audio/vnd.dts.uhd,[Phillip_Maness]
vnd.dvb.file,audio/vnd.dvb.file,[Peter_Siebert]
vnd.everad.plj,audio/vnd.everad.plj,[Shay_Cicelsky]
vnd.hns.audio,audio/vnd.hns.audio,[Swaminathan]
vnd.lucent.voice,audio/vnd.lucent.voice,[Greg_Vaudreuil]
vnd.ms-playready.media.pya,audio/vnd.ms-playready.media.pya,[Steve_DiAcetis]
vnd.nokia.mobile-xmf,audio/vnd.nokia.mobile-xmf,[Nokia]
vnd.nortel.vbk,audio/vnd.nortel.vbk,[Glenn_Parsons]
vnd.nuera.ecelp4800,audio/vnd.nuera.ecelp4800,[Michael_Fox]
vnd.nuera.ecelp7470,audio/vnd.nuera.ecelp7470,[Michael_Fox]
vnd.nuera.ecelp9600,audio/vnd.nuera.ecelp9600,[Michael_Fox]
vnd.octel.sbc,audio/vnd.octel.sbc,[Greg_Vaudreuil]
vnd.presonus.multitrack,audio/vnd.presonus.multitrack,[Matthias_Juwan]
vnd.qcelp - DEPRECATED in favor of audio/qcelp,audio/vnd.qcelp,[RFC3625]
vnd.rhetorex.32kadpcm,audio/vnd.rhetorex.32kadpcm,[Greg_Vaudreuil]
vnd.rip,audio/vnd.rip,[Martin_Dawe]
vnd.sealedmedia.softseal.mpeg,audio/vnd.sealedmedia.softseal.mpeg,[David_Petersen]
vnd.vmx.cvsd,audio/vnd.vmx.cvsd,[Greg_Vaudreuil]
vorbis,audio/vorbis,[RFC5215]
vorbis-config,audio/vorbis-config,[RFC5215]
