Name,Template,Reference
alternative,,[RFC2046][RFC2045]
appledouble,multipart/appledouble,[Patrik_Faltstrom]
byteranges,multipart/byteranges,[RFC7233]
digest,,[RFC2046][RFC2045]
encrypted,multipart/encrypted,[RFC1847]
example,multipart/example,[RFC4735]
form-data,multipart/form-data,[RFC7578]
header-set,multipart/header-set,[Dave_Crocker]
mixed,,[RFC2046][RFC2045]
multilingual,multipart/multilingual,[RFC8255]
parallel,,[RFC2046][RFC2045]
related,multipart/related,[RFC2387]
report,multipart/report,[RFC6522]
signed,multipart/signed,[RFC1847]
vnd.bint.med-plus,multipart/vnd.bint.med-plus,[Heinz-Peter_Schütz]
voice-message,multipart/voice-message,[RFC3801]
x-mixed-replace,multipart/x-mixed-replace,[W3C][Robin_Berjon]
