Name,Template,Reference
1d-interleaved-parityfec,,[RFC6015]
3gpp-ims+xml,application/3gpp-ims+xml,[John_M_Meredith]
activemessage,application/activemessage,[Ehud_Shapiro]
activemessage,application/activemessage,[Ehud_Shapiro]
alto-costmap+json,application/alto-costmap+json,[RFC-ietf-alto-protocol-27]
alto-costmapfilter+json,application/alto-costmapfilter+json,[RFC-ietf-alto-protocol-27]
alto-directory+json,application/alto-directory+json,[RFC-ietf-alto-protocol-27]
alto-endpointprop+json,application/alto-endpointprop+json,[RFC-ietf-alto-protocol-27]
alto-endpointpropparams+json,application/alto-endpointpropparams+json,[RFC-ietf-alto-protocol-27]
alto-endpointcost+json,application/alto-endpointcost+json,[RFC-ietf-alto-protocol-27]
alto-endpointcostparams+json,application/alto-endpointcostparams+json,[RFC-ietf-alto-protocol-27]
alto-error+json,application/alto-error+json,[RFC-ietf-alto-protocol-27]
alto-networkmapfilter+json,application/alto-networkmapfilter+json,[RFC-ietf-alto-protocol-27]
alto-networkmap+json,application/alto-networkmap+json,[RFC-ietf-alto-protocol-27]
andrew-inset,application/andrew-inset,[Nathaniel_Borenstein]
applefile,application/applefile,[Patrik_Faltstrom]
atom+xml,,[RFC4287][RFC5023]
atomdeleted+xml,,[RFC6721]
atomicmail,application/atomicmail,[Nathaniel_Borenstein]
atomcat+xml,,[RFC5023]
atomsvc+xml,,[RFC5023]
auth-policy+xml,,[RFC4745]
bacnet-xdd+zip,application/bacnet-xdd+zip,[ASHRAE][Dave_Robin]
batch-SMTP,,[RFC2442]
beep+xml,,[RFC3080]
calendar+xml,,[RFC6321]
call-completion,application/call-completion,[RFC6910]
cals-1840,,[RFC1895]
cbor,application/cbor,[RFC7049]
ccmp+xml,,[RFC6503]
ccxml+xml,,[RFC4267]
cdmi-capability,,[RFC6208]
cdmi-container,,[RFC6208]
cdmi-domain,,[RFC6208]
cdmi-object,,[RFC6208]
cdmi-queue,,[RFC6208]
cea-2018+xml,application/cea-2018+xml,[Gottfried_Zimmermann]
cellml+xml,,[RFC4708]
cfw,,[RFC6230]
cms,application/cms,[RFC-turner-application-cms-media-type-08]
cnrp+xml,,[RFC3367]
commonground,application/commonground,[David_Glazer]
conference-info+xml,,[RFC4575]
cpl+xml,,[RFC3880]
csrattrs,application/csrattrs,[RFC7030]
csta+xml,application/csta+xml,[Ecma_International_Helpdesk]
CSTAdata+xml,application/CSTAdata+xml,[Ecma_International_Helpdesk]
cybercash,application/cybercash,[Donald_E._Eastlake_3rd]
dash+xml,application/dash+xml,[Thomas_Stockhammer][ISO-IEC_JTC1]
dashdelta,application/dashdelta,[David_Furbeck]
davmount+xml,,[RFC4709]
dca-rft,application/dca-rft,[Larry_Campbell]
dec-dx,application/dec-dx,[Larry_Campbell]
dialog-info+xml,,[RFC4235]
dicom,,[RFC3240]
dns,,[RFC4027]
dskpp+xml,,[RFC6063]
dssc+der,,[RFC5698]
dssc+xml,,[RFC5698]
dvcs,,[RFC3029]
ecmascript,,[RFC4329]
EDI-Consent,,[RFC1767]
EDIFACT,,[RFC1767]
EDI-X12,,[RFC1767]
emma+xml,,[W3C][http://www.w3.org/TR/2007/CR-emma-20071211/#media-type-registration][ISO-IEC JTC1]
emotionml+xml,application/emotionml+xml,[W3C][Kazuyuki_Ashimura]
encaprtp,application/encaprtp,[RFC6849]
epp+xml,,[RFC5730]
eshop,application/eshop,[Steve_Katz]
example,,[RFC4735]
exi,,[W3C][http://www.w3.org/TR/2009/CR-exi-20091208/#mediaTypeRegistration]
fastinfoset,application/fastinfoset,[ITU-T_ASN.1_Rapporteur]
fastsoap,application/fastsoap,[ITU-T_ASN.1_Rapporteur]
fdt+xml,,[RFC6726]
fits,,[RFC4047]
font-sfnt,application/font-sfnt,[Levantovsky][ISO-IEC JTC1]
font-tdpfr,,[RFC3073]
font-woff,application/font-woff,[W3C]
framework-attributes+xml,,[RFC6230]
gzip,,[RFC6713]
H224,,[RFC4573]
held+xml,,[RFC5985]
