Name,Template,Reference
CPIM,,[RFC3862]
delivery-status,,[RFC1894]
disposition-notification,,[RFC3798]
example,,[RFC4735]
external-body,,[RFC2045][RFC2046]
feedback-report,,[RFC5965]
global,,[RFC6532]
global-delivery-status,,[RFC6533]
global-disposition-notification,,[RFC6533]
global-headers,,[RFC6533]
http,message/http,[RFC-ietf-httpbis-p1-messaging-26]
imdn+xml,,[RFC5438]
news - OBSOLETE,message/news,[RFC5537][Henry_Spencer]
partial,,[RFC2045][RFC2046]
rfc822,,[RFC2045][RFC2046]
s-http,,[RFC2660]
sip,,[RFC3261]
sipfrag,,[RFC3420]
tracking-status,,[RFC3886]
vnd.si.simp - OBSOLETE,message/vnd.si.simp,[Nicholas_Parks_Young]
vnd.wfa.wsc,message/vnd.wfa.wsc,[Mick_Conley]
