Name,Template,Reference
example,,[RFC4735]
iges,model/iges,[Curtis_Parks]
mesh,,[RFC2077]
vnd.collada+xml,model/vnd.collada+xml,[James_Riordon]
vnd.dwf,model/vnd-dwf,[Jason_Pratt]
vnd.flatland.3dml,model/vnd.flatland.3dml,[Michael_Powers]
vnd.gdl,model/vnd.gdl,[Attila_Babits]
vnd.gs-gdl,model/vnd.gs-gdl,[Attila_Babits]
vnd.gtw,model/vnd.gtw,[Yutaka_Ozaki]
vnd.moml+xml,model/vnd.moml+xml,[Christopher_Brooks]
vnd.mts,model/vnd.mts,[Boris_Rabinovitch]
vnd.parasolid.transmit.binary,model/vnd.parasolid.transmit-binary,[Parasolid]
vnd.parasolid.transmit.text,model/vnd.parasolid.transmit-text,[Parasolid]
vnd.vtu,model/vnd.vtu,[Boris_Rabinovitch]
vrml,,[RFC2077]
x3d-vrml,model/x3d-vrml,[Web3D][Web3DX3D]
x3d+xml,model/x3d+xml,[Web3D][Web3DX3D]
