Name,Template,Reference
1d-interleaved-parityfec,,[RFC6015]
calendar,,[RFC5545]
css,,[RFC2318]
csv,text/csv,[RFC4180][RFC7111]
directory - DEPRECATED - Please see:,,[RFC2425][RFC6350]
dns,,[RFC4027]
ecmascript - OBSOLETE,,[RFC4329]
encaprtp,text/encaprtp,[RFC6849]
enriched,,[RFC1896]
example,,[RFC4735]
fwdred,,[RFC6354]
grammar-ref-list,,[RFC6787]
html,text/html,[Michael_TM_Smith][W3C]
javascript - OBSOLETE,,[RFC4329]
jcr-cnd,text/jcr-cnd,[Peeter_Piegaze]
mizar,text/mizar,[Jesse_Alama]
n3,text/n3,[Eric_Prudhommeaux][W3C]
parameters,text/parameters,[RFC-ietf-mmusic-rfc2326bis-40]
parityfec,,[RFC5109]
plain,,[RFC2046][RFC3676][RFC5147]
provenance-notation,,[Ivan_Herman][W3C]
prs.fallenstein.rst,text/prs.fallenstein.rst,[Benja_Fallenstein]
prs.lines.tag,text/prs.lines.tag,[John_Lines]
raptorfec,,[RFC6682]
RED,,[RFC4102]
rfc822-headers,,[RFC6522]
richtext,,[RFC2045][RFC2046]
rtf,text/rtf,[Paul_Lindner]
rtp-enc-aescm128,text/rtp-enc-aescm128,[ThreeGPP]
rtploopback,text/rtploopback,[RFC6849]
rtx,,[RFC4588]
sgml,,[RFC1874]
t140,,[RFC4103]
tab-separated-values,text/tab-separated-values,[Paul_Lindner]
troff,,[RFC4263]
turtle,text/turtle,[Eric_Prudhommeaux][W3C]
ulpfec,,[RFC5109]
uri-list,,[RFC2483]
vcard,,[RFC6350]
vnd.a,text/vnd-a,[Regis_Dehoux]
vnd.abc,text/vnd.abc,[Steve_Allen]
vnd.curl,text/vnd-curl,[Robert_Byrnes]
vnd.debian.copyright,text/vnd.debian.copyright,[Charles_Plessy]
vnd.DMClientScript,text/vnd.DMClientScript,[Dan_Bradley]
vnd.dvb.subtitle,text/vnd.dvb.subtitle,[Peter_Siebert][Michael_Lagally]
vnd.esmertec.theme-descriptor,text/vnd.esmertec.theme-descriptor,[Stefan_Eilemann]
vnd.fly,text/vnd.fly,[John-Mark_Gurney]
vnd.fmi.flexstor,text/vnd.fmi.flexstor,[Kari_E._Hurtta]
vnd.graphviz,text/vnd.graphviz,[John_Ellson]
vnd.in3d.3dml,text/vnd.in3d.3dml,[Michael_Powers]
vnd.in3d.spot,text/vnd.in3d.spot,[Michael_Powers]
vnd.IPTC.NewsML,text/vnd.IPTC.NewsML,[IPTC]
vnd.IPTC.NITF,text/vnd.IPTC.NITF,[IPTC]
vnd.latex-z,text/vnd.latex-z,[Mikusiak_Lubos]
vnd.motorola.reflex,text/vnd.motorola.reflex,[Mark_Patton]
vnd.ms-mediapackage,text/vnd.ms-mediapackage,[Jan_Nelson]
vnd.net2phone.commcenter.command,text/vnd.net2phone.commcenter.command,[Feiyu_Xie]
vnd.radisys.msml-basic-layout,,[RFC5707]
vnd.si.uricatalogue - OBSOLETE,text/vnd.si.uricatalogue,[Nicholas_Parks_Young]
vnd.sun.j2me.app-descriptor,text/vnd.sun.j2me.app-descriptor,[Gary_Adams]
vnd.trolltech.linguist,text/vnd.trolltech.linguist,[David_Lee_Lambert]
vnd.wap.si,text/vnd.wap.si,[WAP-Forum]
vnd.wap.sl,text/vnd.wap.sl,[WAP-Forum]
vnd.wap.wml,text/vnd.wap-wml,[Peter_Stark]
vnd.wap.wmlscript,text/vnd.wap.wmlscript,[Peter_Stark]
xml,,[RFC3023]
xml-external-parsed-entity,,[RFC3023]
