Name,Template,Reference
1d-interleaved-parityfec,video/1d-interleaved-parityfec,[RFC6015]
3gpp,video/3gpp,[RFC3839][RFC6381]
3gpp2,video/3gpp2,[RFC4393][RFC6381]
3gpp-tt,video/3gpp-tt,[RFC4396]
BMPEG,video/BMPEG,[RFC3555]
BT656,video/BT656,[RFC3555]
CelB,video/CelB,[RFC3555]
DV,video/DV,[RFC6469]
encaprtp,video/encaprtp,[RFC6849]
example,video/example,[RFC4735]
flexfec,video/flexfec,[RFC8627]
H261,video/H261,[RFC4587]
H263,video/H263,[RFC3555]
H263-1998,video/H263-1998,[RFC4629]
H263-2000,video/H263-2000,[RFC4629]
H264,video/H264,[RFC6184]
H264-RCDO,video/H264-RCDO,[RFC6185]
H264-SVC,video/H264-SVC,[RFC6190]
H265,video/H265,[RFC7798]
iso.segment,video/iso.segment,[David_Singer][ISO-IEC_JTC1]
JPEG,video/JPEG,[RFC3555]
jpeg2000,video/jpeg2000,[RFC5371][RFC5372]
mj2,video/mj2,[RFC3745]
MP1S,video/MP1S,[RFC3555]
MP2P,video/MP2P,[RFC3555]
MP2T,video/MP2T,[RFC3555]
mp4,video/mp4,[RFC4337][RFC6381]
MP4V-ES,video/MP4V-ES,[RFC6416]
MPV,video/MPV,[RFC3555]
mpeg,,[RFC2045][RFC2046]
mpeg4-generic,video/mpeg4-generic,[RFC3640]
nv,video/nv,[RFC4856]
ogg,video/ogg,[RFC5334][RFC7845]
parityfec,,[RFC5109]
pointer,video/pointer,[RFC2862]
quicktime,video/quicktime,[RFC6381][Paul_Lindner]
raptorfec,video/raptorfec,[RFC6682]
raw,,[RFC4175]
rtp-enc-aescm128,video/rtp-enc-aescm128,[_3GPP]
rtploopback,video/rtploopback,[RFC6849]
rtx,video/rtx,[RFC4588]
smpte291,video/smpte291,[RFC8331]
SMPTE292M,video/SMPTE292M,[RFC3497]
ulpfec,video/ulpfec,[RFC5109]
vc1,video/vc1,[RFC4425]
vc2,video/vc2,[RFC8450]
vnd.CCTV,video/vnd.CCTV,[Frank_Rottmann]
vnd.dece.hd,video/vnd.dece.hd,[Michael_A_Dolan]
vnd.dece.mobile,video/vnd.dece.mobile,[Michael_A_Dolan]
vnd.dece.mp4,video/vnd.dece.mp4,[Michael_A_Dolan]
vnd.dece.pd,video/vnd.dece.pd,[Michael_A_Dolan]
vnd.dece.sd,video/vnd.dece.sd,[Michael_A_Dolan]
vnd.dece.video,video/vnd.dece.video,[Michael_A_Dolan]
vnd.directv.mpeg,video/vnd.directv.mpeg,[Nathan_Zerbe]
vnd.directv.mpeg-tts,video/vnd.directv.mpeg-tts,[Nathan_Zerbe]
vnd.dlna.mpeg-tts,video/vnd.dlna.mpeg-tts,[Edwin_Heredia]
vnd.dvb.file,video/vnd.dvb.file,[Peter_Siebert][Kevin_Murray]
vnd.fvt,video/vnd.fvt,[Arild_Fuldseth]
vnd.hns.video,video/vnd.hns.video,[Swaminathan]
vnd.iptvforum.1dparityfec-1010,video/vnd.iptvforum.1dparityfec-1010,[Shuji_Nakamura]
vnd.iptvforum.1dparityfec-2005,video/vnd.iptvforum.1dparityfec-2005,[Shuji_Nakamura]
vnd.iptvforum.2dparityfec-1010,video/vnd.iptvforum.2dparityfec-1010,[Shuji_Nakamura]
vnd.iptvforum.2dparityfec-2005,video/vnd.iptvforum.2dparityfec-2005,[Shuji_Nakamura]
vnd.iptvforum.ttsavc,video/vnd.iptvforum.ttsavc,[Shuji_Nakamura]
vnd.iptvforum.ttsmpeg2,video/vnd.iptvforum.ttsmpeg2,[Shuji_Nakamura]
vnd.motorola.video,video/vnd.motorola.video,[Tom_McGinty]
vnd.motorola.videop,video/vnd.motorola.videop,[Tom_McGinty]
vnd.mpegurl,video/vnd.mpegurl,[Heiko_Recktenwald]
vnd.ms-playready.media.pyv,video/vnd.ms-playready.media.pyv,[Steve_DiAcetis]
vnd.nokia.interleaved-multimedia,video/vnd.nokia.interleaved-multimedia,[Petteri_Kangaslampi]
vnd.nokia.mp4vr,video/vnd.nokia.mp4vr,[Miska_M._Hannuksela]
vnd.nokia.videovoip,video/vnd.nokia.videovoip,[Nokia]
vnd.objectvideo,video/vnd.objectvideo,[John_Clark]
vnd.radgamettools.bink,video/vnd.radgamettools.bink,[Henrik_Andersson]
vnd.radgamettools.smacker,video/vnd.radgamettools.smacker,[Henrik_Andersson]
vnd.sealed.mpeg1,video/vnd.sealed.mpeg1,[David_Petersen]
vnd.sealed.mpeg4,video/vnd.sealed.mpeg4,[David_Petersen]
vnd.sealed.swf,video/vnd.sealed.swf,[David_Petersen]
vnd.sealedmedia.softseal.mov,video/vnd.sealedmedia.softseal.mov,[David_Petersen]
vnd.uvvu.mp4,video/vnd.uvvu.mp4,[Michael_A_Dolan]
vnd.youtube.yt,video/vnd.youtube.yt,[Google]
vnd.vivo,video/vnd.vivo,[John_Wolfe]
VP8,video/VP8,[RFC7741]
